song_id,title,year,album,cluster,pca_x,pca_y
1,אותיות נחמה,2025,אותיות נחמה,2,0.31274825,0.29548317
2,משמעות לחלומותיי,2025,אותיות נחמה,2,0.37024027,1.6138437
3,כשהכל יתבהר,2025,אותיות נחמה,2,0.15450355,1.3852425
4,היה לי אותך,2025,אותיות נחמה,2,0.6407086,-0.53821224
5,פעם פם פם,2025,אותיות נחמה,2,0.16934724,-0.55838794
6,הפנים היפות,2025,אותיות נחמה,2,0.39409882,-0.20759156
7,מישהו חושב עליך,2025,אותיות נחמה,2,1.0623673,0.4016186
8,לטרוף את החיים,2025,אותיות נחמה,2,0.8842411,-0.42268583
9,תני לי יד בעולם,2025,אותיות נחמה,2,0.73965085,-1.3290353
10,עזור לי,2025,אותיות נחמה,2,1.0314859,-0.27326727
11,פעם טעים ופעם מר,2025,אותיות נחמה,2,1.2070435,-0.17294313
12,ליד הים,2025,אותיות נחמה,2,1.2631108,0.6556636
13,שקט עכשיו בחדר,2025,אותיות נחמה,2,0.44597417,-0.9598324
14,השיר החסר,2025,אותיות נחמה,2,0.8237132,0.3196514
15,שווה שוב להתחיל,2025,אותיות נחמה,2,0.5613607,0.43358722
16,ואולי,2016,קצפת,2,1.0356635,-0.13914314
17,עוד אחד ודי,2016,קצפת,2,0.76294917,-0.6835005
18,לנצח יחד,2016,קצפת,2,0.648925,-0.26881203
19,ביתנו,2016,קצפת,2,-0.38771668,-0.16384202
20,כמעט,2016,קצפת,2,0.6855522,0.24150194
21,בסתיו,2016,קצפת,2,-0.16106187,0.34193996
22,מחמל נפשי,2016,קצפת,0,-1.5011504,-0.45183554
23,פעם אחת בחודש,2016,קצפת,2,0.9991917,-0.4597332
24,קצפת,2016,קצפת,2,-0.26148254,0.11902286
25,איך מרגישים כשיש אהבה,2016,קצפת,2,0.7986065,-0.14846045
26,עלייך לא אוותר,2016,קצפת,2,1.12185,0.25075498
27,והאמת,2016,קצפת,2,0.16658247,0.4721181
28,הכינורות,2016,קצפת,2,0.83405876,0.11355052
29,גבעה אחת,2016,קצפת,1,-1.4097844,1.5304462
30,חוזרים הביתה,2012,אושר אקספרס,2,0.21223179,-0.12756404
31,כל יום,2012,אושר אקספרס,0,-1.2117351,0.07900568
32,לתת ולקחת,2012,אושר אקספרס,2,1.4208676,-0.09505017
33,נדבר מהלב,2012,אושר אקספרס,2,0.57455784,0.013035867
34,אלוהיי,2012,אושר אקספרס,0,-1.333382,-0.6801416
35,לא מוותר על החלום שלי,2012,אושר אקספרס,0,-1.1630653,-0.86672354
36,אומץ,2012,אושר אקספרס,2,-0.0756334,-0.7183799
37,פלורידה,2012,אושר אקספרס,2,1.3468684,-0.34424677
38,מת להגיד לך,2012,אושר אקספרס,2,0.81601787,-0.08819945
39,קיץ בארץ לו,2012,אושר אקספרס,2,0.038075168,-1.281553
40,אושר אקספרס,2012,אושר אקספרס,0,-0.9901823,-1.0623049
41,שלא יעלמו הדברים היפים,2012,אושר אקספרס,0,-1.2508848,-0.33521268
42,תתארו לכם,2007,שפויים,0,-0.446204,-0.13938157
43,האמיתי,2007,שפויים,0,-0.6030348,-0.7986242
44,איסלנד,2007,שפויים,2,0.09314651,-0.15570818
45,נצמדנו,2007,שפויים,2,-0.1680156,-0.4182007
46,לעזאזל איך לא ידעתי,2007,שפויים,0,-0.4062935,-0.71316713
47,מתנה ליום הולדת,2007,שפויים,0,-1.4226404,-0.93861026
48,החיים,2007,שפויים,0,-0.7329329,-0.6907784
49,הבחורה שלי,2007,שפויים,0,-0.6239644,-0.5273016
50,תוכיחי לי,2007,שפויים,0,-0.8371588,0.7488909
51,ברגע האחרון,2007,שפויים,0,-0.5483224,-0.14371003
52,דמעות שחורות,2007,שפויים,2,-0.027086798,1.1679624
53,הילוך חוזר,2007,שפויים,0,-0.46577784,0.11249158
54,שפויים,2007,שפויים,0,-0.15084939,-0.50521046
55,לעולמים,2007,שפויים,0,-1.2955987,-0.20760453
56,הרחק מכאן,2007,שפויים,0,-1.5212827,-0.6771219
57,פה ושם,2002,צימאון,2,0.86095965,-0.16142529
58,בשקט בשקט,2002,צימאון,0,-0.15399489,-2.0171716
59,דבר איתי על המצב,2002,צימאון,0,-1.162633,-1.239215
60,על פי תנועת הרכבות,2002,צימאון,2,0.6020559,1.025585
61,להציל אותך,2002,צימאון,2,0.0203216,0.123118214
62,שיר הקירבה,2002,צימאון,2,0.6225968,1.3851513
63,כל אחד והסיפור שלו,2002,צימאון,2,1.4766504,-0.087873384
64,בדרך,2002,צימאון,2,1.0095938,-0.09961672
65,געגועי,2002,צימאון,0,-2.010059,-0.5930516
66,עשרים וארבע שעות,2002,צימאון,2,0.6968567,0.29377833
67,הבית שלך,2002,צימאון,0,-1.8801743,-0.43288028
