song_id,title,year,album,text_raw,text_clean,word_count
1,אותיות נחמה,2025,אותיות נחמה,"האם הגיוני שמה שקרה לא יחזור,
נתעורר מחלום, נשב ונשתה קפה רק שחור.
הרוח תישוב ,העלים יפלו מעצמם,
האם הגיוני שאיבדנו פתאום את הקיים?



אני חושב שרצינו, עוד לא מיצינו
קשה להבין את הדממה.
פצעינו מגלידים, אנחנו הולכים לחפש נחמה.
לחפש נחמה ...



האם הגיוני ששמיים בוכים מעצמם ?
כן זה אבל כבד וקשה לחזור ללב האדם.
האם הגיוני שראיתי אותך בכיכר ?
יושבת לבד, רוקדת לבד, מחפשת תקווה .



אני חושב שרצינו, עוד לא מיצינו
קשה להבין את הדממה.
פצעינו מגלידים, אנחנו הולכים לחפש נחמה .
לחפש נחמה ...



האם הגיוני שהכול יחזור לעצמו ?
האמת, התקווה ,האהבה, החלום ,הריקוד המתוק .
האם הגיוני שהפסקנו לבכות מאהבה?
בדרכים הריקות ממכוניות
מחפשים עדיין את הצבא!



אני חושב שרצינו, עוד לא מיצינו
קשה להבין את הדממה.
פצעינו מגלידים, אנחנו הולכים לחפש נחמה .
לחפש נחמה ...

","האם הגיוני שמה שקרה לא יחזור, נתעורר מחלום, נשב ונשתה קפה רק שחור. הרוח תישוב ,העלים יפלו מעצמם, האם הגיוני שאיבדנו פתאום את הקיים? אני חושב שרצינו, עוד לא מיצינו קשה להבין את הדממה. פצעינו מגלידים, אנחנו הולכים לחפש נחמה. לחפש נחמה ... האם הגיוני ששמיים בוכים מעצמם ? כן זה אבל כבד וקשה לחזור ללב האדם. האם הגיוני שראיתי אותך בכיכר ? יושבת לבד, רוקדת לבד, מחפשת תקווה . אני חושב שרצינו, עוד לא מיצינו קשה להבין את הדממה. פצעינו מגלידים, אנחנו הולכים לחפש נחמה . לחפש נחמה ... האם הגיוני שהכול יחזור לעצמו ? האמת, התקווה ,האהבה, החלום ,הריקוד המתוק . האם הגיוני שהפסקנו לבכות מאהבה? בדרכים הריקות ממכוניות מחפשים עדיין את הצבא! אני חושב שרצינו, עוד לא מיצינו קשה להבין את הדממה. פצעינו מגלידים, אנחנו הולכים לחפש נחמה . לחפש נחמה ...",135
2,משמעות לחלומותיי,2025,אותיות נחמה,"האם יש משמעות לחלומותיי?
האם יש משמעות לאהבותיי ?
שותפות גורל, רגע מתוסכל,
אהבת אמת וחסד וכל השאר.
האם יש משמעות לכל הרגליי?



האם יש לי אהבה אי שם בכלל ?
האם יש לי מורה לחיים ""טוטאל""?
הבנת חלום, הסבת הראש,
חבלי לידה של שירים שאני כותב.
האם יש משמעות לכאבי הלב ?



כנגד כולם לא אצא עכשיו , אולי רק מחר.
אתחבר בעולם לטוב שיש, אם רק אפשר.
פעם בחיים אהבה עזה כמוות,
""תני לי את היד שלך שימי עלי הראש""
רגע גאווה ורגע אהבה,
בואי נספור שלש.
והיי היי היי היי אני כל יכול,
והיי היי היי היי אם אני רוצה
אני כל יכול .


האם יש משמעות לחלומותיי?
האם יש משמעות לאהבותיי ?
שותפות גורל, רגע מתוסכל,
אהבת אמת וחסד וכל השאר.
האם יש משמעות לכל הרגליי?


כנגד כולם לא אצא עכשיו , אולי רק מחר.
אתחבר בעולם לטוב שיש, אם רק אפשר.
פעם בחיים אהבה עזה כמוות,
""תני לי את היד שלך שימי עלי הראש""
רגע גאווה ורגע אהבה,
בואי נספור שלש.
והיי היי היי היי אני כל יכול,
והיי היי היי היי אם אני רוצה
אני כל יכול .
","האם יש משמעות לחלומותיי? האם יש משמעות לאהבותיי ? שותפות גורל, רגע מתוסכל, אהבת אמת וחסד וכל השאר. האם יש משמעות לכל הרגליי? האם יש לי אהבה אי שם בכלל ? האם יש לי מורה לחיים ""טוטאל""? הבנת חלום, הסבת הראש, חבלי לידה של שירים שאני כותב. האם יש משמעות לכאבי הלב ? כנגד כולם לא אצא עכשיו , אולי רק מחר. אתחבר בעולם לטוב שיש, אם רק אפשר. פעם בחיים אהבה עזה כמוות, ""תני לי את היד שלך שימי עלי הראש"" רגע גאווה ורגע אהבה, בואי נספור שלש. והיי היי היי היי אני כל יכול, והיי היי היי היי אם אני רוצה אני כל יכול . האם יש משמעות לחלומותיי? האם יש משמעות לאהבותיי ? שותפות גורל, רגע מתוסכל, אהבת אמת וחסד וכל השאר. האם יש משמעות לכל הרגליי? כנגד כולם לא אצא עכשיו , אולי רק מחר. אתחבר בעולם לטוב שיש, אם רק אפשר. פעם בחיים אהבה עזה כמוות, ""תני לי את היד שלך שימי עלי הראש"" רגע גאווה ורגע אהבה, בואי נספור שלש. והיי היי היי היי אני כל יכול, והיי היי היי היי אם אני רוצה אני כל יכול .",184
3,כשהכל יתבהר,2025,אותיות נחמה,"תיקחי איתך כובע תצאי לטיול,
תגידי לי מה קורה שם בחוץ,
תישאלי בשבילי את כל מי שעובר,
האם הכול יתבהר?



תיסעי להסתכל העולם היתבלבל,
האם הצבא נסוג מהתל?
האם יש לי אי שם עוד איזה חבר,
האם הכול יתבהר?



כשהכול יתבהר ימים כואבים,
יהיה כוח לחיות עוד יום מבלי שרבים.
כשהכול יתבהר אחי שנפצע,
את הבוקר ימצא.
כשהכול יתבהר החושך ייפול,
אני שוב אלחץ על הכפתור הכחול,
כשהכול יתבהר נהיה שוב רכים,
תגידי לי מה תגידי לי...
למה מחכים?



תיקחי איתך תזמורת, לפחות תיקחי שיר,
גם יום של חורף הופך לאביב.
תיקחי אותי שם לסיבוב בעולם,
כשהכול יתבהר.




כשהכול יתבהר ימים כואבים,
יהיה כוח לחיות עוד יום מבלי שרבים.
כשהכול יתבהר אחי שנפצע,
את הבוקר ימצא.
כשהכול יתבהר החושך ייפול,
אני שוב אלחץ על הכפתור הכחול,
כשהכול יתבהר נהיה שוב רכים,
תגידי לי מה תגידי לי...
למה מחכים?



תיקחי איתך כובע תצאי לטיול,
תגידי לי מה קורה שם בחוץ,
תישאלי בשבילי את כל מי שעובר,
האם הכול יתבהר?","תיקחי איתך כובע תצאי לטיול, תגידי לי מה קורה שם בחוץ, תישאלי בשבילי את כל מי שעובר, האם הכול יתבהר? תיסעי להסתכל העולם היתבלבל, האם הצבא נסוג מהתל? האם יש לי אי שם עוד איזה חבר, האם הכול יתבהר? כשהכול יתבהר ימים כואבים, יהיה כוח לחיות עוד יום מבלי שרבים. כשהכול יתבהר אחי שנפצע, את הבוקר ימצא. כשהכול יתבהר החושך ייפול, אני שוב אלחץ על הכפתור הכחול, כשהכול יתבהר נהיה שוב רכים, תגידי לי מה תגידי לי... למה מחכים? תיקחי איתך תזמורת, לפחות תיקחי שיר, גם יום של חורף הופך לאביב. תיקחי אותי שם לסיבוב בעולם, כשהכול יתבהר. כשהכול יתבהר ימים כואבים, יהיה כוח לחיות עוד יום מבלי שרבים. כשהכול יתבהר אחי שנפצע, את הבוקר ימצא. כשהכול יתבהר החושך ייפול, אני שוב אלחץ על הכפתור הכחול, כשהכול יתבהר נהיה שוב רכים, תגידי לי מה תגידי לי... למה מחכים? תיקחי איתך כובע תצאי לטיול, תגידי לי מה קורה שם בחוץ, תישאלי בשבילי את כל מי שעובר, האם הכול יתבהר?",158
4,היה לי אותך,2025,אותיות נחמה,"היה לי אותך תחת שמי הסתיו,
היו לי בגדים שזרקתי אותם ליד הים על החוף.
הייתה לי ילדות, הייתה מלחמה קשה
וגשם שוטף שרצתי אחריה עלוב ותמים.
הייתה רוח גבית אולי רוח מזרחית,
אולי מערבית, או קרבית, ערבית והמון שירי פופ!
כמו שני זרוקים שאיבדו בעיר מכונית,
עישנו בלילה את כל הכאב והלכנו מכות.
אני נוסע מעיר לעיר, משיר לשיר,
לחבק לי את מה שנשאר.
אני חושב לי מחשבות על מה שהיה ומה שצריך להיות.
היה לי אותך תחת שמי הסתיו,
מה עושים עכשיו? איך זזים עכשיו?
ככל שהעולם השתנה, השתנתה לי המציאות.
בניתי את עצמי מרגעי הבנה ורגעי מודעות.
""זה אבא שלי, תכירי, זאת אמא שלי""
רוקדים חתונה , אולי גירושין, אולי שוב ילדות.
אני נוסע מעיר לעיר, משיר לשיר,
לחבק לי את מה שנשאר.
אני חושב לי מחשבות על מה שהיה ומה שצריך להיות.
היה לי אותך תחת שמי הסתיו,
מה עושים עכשיו? איך זזים עכשיו?
היה לי אותך תחת שמי הסתיו,
מה עושים עכשיו? איך זזים עכשיו?","היה לי אותך תחת שמי הסתיו, היו לי בגדים שזרקתי אותם ליד הים על החוף. הייתה לי ילדות, הייתה מלחמה קשה וגשם שוטף שרצתי אחריה עלוב ותמים. הייתה רוח גבית אולי רוח מזרחית, אולי מערבית, או קרבית, ערבית והמון שירי פופ! כמו שני זרוקים שאיבדו בעיר מכונית, עישנו בלילה את כל הכאב והלכנו מכות. אני נוסע מעיר לעיר, משיר לשיר, לחבק לי את מה שנשאר. אני חושב לי מחשבות על מה שהיה ומה שצריך להיות. היה לי אותך תחת שמי הסתיו, מה עושים עכשיו? איך זזים עכשיו? ככל שהעולם השתנה, השתנתה לי המציאות. בניתי את עצמי מרגעי הבנה ורגעי מודעות. ""זה אבא שלי, תכירי, זאת אמא שלי"" רוקדים חתונה , אולי גירושין, אולי שוב ילדות. אני נוסע מעיר לעיר, משיר לשיר, לחבק לי את מה שנשאר. אני חושב לי מחשבות על מה שהיה ומה שצריך להיות. היה לי אותך תחת שמי הסתיו, מה עושים עכשיו? איך זזים עכשיו? היה לי אותך תחת שמי הסתיו, מה עושים עכשיו? איך זזים עכשיו?",160
5,פעם פם פם,2025,אותיות נחמה,"פעם כשירד איזה שלג בשוויץ ואצלנו הלכו מכות,
החלטתי לנסוע לפגוש את חיי לגבש כמה עקרונות.
בחדר קטן, עם שיריו של נתן, בעיר לא שלי בכלל.
פתחתי חלון, עישנתי ""ז'יטן"" כמו במשל הקיום הדל.



""הו ניו יורק ניו יורק"" נאנח,
""הייתי שם פעם רקדתי איתך.
הו לילות בתוך תל אביב
היינו שם פעם לרגע מאוהבים"".



עברתי בעיר עם שעון קיר מפואר,
נרדמתי בבתי קפה.
חיפשתי חיים בחור של עכבר, בלוע אריה שואג.
בשני צעדים חציתי רחוב,
בשלישי לקחתי החלטות,
פגשתי שדים ניצחתי בטוב הבדידות השתלמה בסוף.



""הו ניו יורק ניו יורק"" נאנח,""
הייתי שם פעם רקדתי איתך.
הו לילות בתוך תל אביב
היינו שם פעם לרגע מאוהבים"".



וכל עץ היה ירוק וכל ים עמוק.
השתדלתי רק לראות לא לשפוט.
וכל יום היה אחר, לפעמים בהיר.
והאיש הכי זקן פעם היה צעיר.



פעם כשירד איזה שלג בשוויץ ואצלנו הלכו מכות,
החלטתי לנסוע לפגוש את חיי, לגבש כמה עקרונות.
וככה בעיר זרה וכללית חציתי רחוב כך סתם.



קניתי עיתון ברכבת תחתית ונעלמתי בין מיליון אדם.



""הו ניו יורק ניו יורק"" נאנח,""
הייתי שם פעם רקדתי איתך.
הו לילות בתוך תל אביב
היינו שם פעם לרגע מאוהבים"".
","פעם כשירד איזה שלג בשוויץ ואצלנו הלכו מכות, החלטתי לנסוע לפגוש את חיי לגבש כמה עקרונות. בחדר קטן, עם שיריו של נתן, בעיר לא שלי בכלל. פתחתי חלון, עישנתי ""ז'יטן"" כמו במשל הקיום הדל. ""הו ניו יורק ניו יורק"" נאנח, ""הייתי שם פעם רקדתי איתך. הו לילות בתוך תל אביב היינו שם פעם לרגע מאוהבים"". עברתי בעיר עם שעון קיר מפואר, נרדמתי בבתי קפה. חיפשתי חיים בחור של עכבר, בלוע אריה שואג. בשני צעדים חציתי רחוב, בשלישי לקחתי החלטות, פגשתי שדים ניצחתי בטוב הבדידות השתלמה בסוף. ""הו ניו יורק ניו יורק"" נאנח,"" הייתי שם פעם רקדתי איתך. הו לילות בתוך תל אביב היינו שם פעם לרגע מאוהבים"". וכל עץ היה ירוק וכל ים עמוק. השתדלתי רק לראות לא לשפוט. וכל יום היה אחר, לפעמים בהיר. והאיש הכי זקן פעם היה צעיר. פעם כשירד איזה שלג בשוויץ ואצלנו הלכו מכות, החלטתי לנסוע לפגוש את חיי, לגבש כמה עקרונות. וככה בעיר זרה וכללית חציתי רחוב כך סתם. קניתי עיתון ברכבת תחתית ונעלמתי בין מיליון אדם. ""הו ניו יורק ניו יורק"" נאנח,"" הייתי שם פעם רקדתי איתך. הו לילות בתוך תל אביב היינו שם פעם לרגע מאוהבים"".",184
6,הפנים היפות,2025,אותיות נחמה,"הפנים היפות של אבי ואמי ,
נראות היום כמו הפנים שלי ,
הצל החולף על המרפסת דומה,
לצלו של העץ הבודד בשדה.



אין חיים אחרים, מלבד אלה שיש,
ואני מתרגש, אבל גם חושש,
אין הסבר הגיוני לאהבה,
למה אחרי השחרור באה אכזבה?



הפנים היפות במיטה הן שלך,
השפתיים חושקות, אז תיכף נצרח.
לא מחזיר לעולם את מה שיש,
בשבוע הבא שוב אולי ניפגש.



תעשו לי טובה תנו לי רגע אחד ,
ערב קיץ מופלא על מרפסת וגג,
מסיכות מסיכות נושרות מפני,
את קורעת לי ת'נשמה שוב בכיתי מדי.



הפנים היפות במיטה הן שלך,
השפתיים חושקות, אז תיכף נצרח.
לא מחזיר לעולם את מה שיש,
בשבוע הבא שוב אולי ניפגש.



הפנים המקוריות של העצב שלי ,
הן של אבי ואמי ושל אחותי.
והשיר האחרון ששמעתי בחג ,
מתחיל במילים שחק שוב ת'משחק.
כמו העץ הבודד בשדה...","הפנים היפות של אבי ואמי , נראות היום כמו הפנים שלי , הצל החולף על המרפסת דומה, לצלו של העץ הבודד בשדה. אין חיים אחרים, מלבד אלה שיש, ואני מתרגש, אבל גם חושש, אין הסבר הגיוני לאהבה, למה אחרי השחרור באה אכזבה? הפנים היפות במיטה הן שלך, השפתיים חושקות, אז תיכף נצרח. לא מחזיר לעולם את מה שיש, בשבוע הבא שוב אולי ניפגש. תעשו לי טובה תנו לי רגע אחד , ערב קיץ מופלא על מרפסת וגג, מסיכות מסיכות נושרות מפני, את קורעת לי ת'נשמה שוב בכיתי מדי. הפנים היפות במיטה הן שלך, השפתיים חושקות, אז תיכף נצרח. לא מחזיר לעולם את מה שיש, בשבוע הבא שוב אולי ניפגש. הפנים המקוריות של העצב שלי , הן של אבי ואמי ושל אחותי. והשיר האחרון ששמעתי בחג , מתחיל במילים שחק שוב ת'משחק. כמו העץ הבודד בשדה...",135
7,מישהו חושב עליך,2025,אותיות נחמה,"כבר לילה. מישהו בוכה בחושך.
מישהי מחבקת אותך מרחוק וחושבת עליך.
כבר בוקר. איפה לא היינו בלילה?
מישהי חושקת בך, טועה בלעדיך, מחכה לך.



גם אם זה בא לפעמים זה הולך וחוזר בחזרה.
גם אם זה איננו עכשיו,
זה יבוא כבר מחר כשתחזור ""בעזרת השם שלך"".
גם אם הלילה יורד, אז הבוקר יעלה והכול כבר יזרח,
גם אם עכשיו זה כואב לנו, סימן שמישהו חושב עליך,
היא ואני ואתם וההם וההן.



כבר לילה. פוליטיקאי צוחק בחושך.
מישהי מחבקת אותך מרחוק וחושבת עליך.
כבר בוקר. מתחילה מלחמה מטורפת.
תיכף תרדם בגפך כשהיא מתפנקת... נחנקת...



גם אם זה בא לפעמים זה הולך וחוזר בחזרה.
גם אם זה איננו עכשיו,
זה יבוא כבר מחר כשתחזור ""בעזרת השם שלך"".
גם אם הלילה יורד, אז הבוקר יעלה והכל כבר יזרח.
גם אם עכשיו זה כואב לנו, סימן שמישהו חושב עליך,
היא ואני ואתם וההם וההן.



כבר לילה לפעמים נורא קשה פה.
אל תדאג הכול יעבור החיים הם ""סומבררו"", ""אוריאו""
כבר בוקר. מגיע לך רגע של אושר.
מזל שהיא חושבת עליך אי שם בלילה... בחושך...



גם אם זה בא לפעמים זה הולך וחוזר בחזרה.
גם אם זה איננו עכשיו,
זה יבוא כבר מחר כשתחזור ""בעזרת השם שלך"".
גם אם הלילה יורד, אז הבוקר יעלה והכל כבר יזרח.
גם אם עכשיו זה כואב לנו, מישהו חושב עליך,
היא ואני ואתם וההם וההן .
","כבר לילה. מישהו בוכה בחושך. מישהי מחבקת אותך מרחוק וחושבת עליך. כבר בוקר. איפה לא היינו בלילה? מישהי חושקת בך, טועה בלעדיך, מחכה לך. גם אם זה בא לפעמים זה הולך וחוזר בחזרה. גם אם זה איננו עכשיו, זה יבוא כבר מחר כשתחזור ""בעזרת השם שלך"". גם אם הלילה יורד, אז הבוקר יעלה והכול כבר יזרח, גם אם עכשיו זה כואב לנו, סימן שמישהו חושב עליך, היא ואני ואתם וההם וההן. כבר לילה. פוליטיקאי צוחק בחושך. מישהי מחבקת אותך מרחוק וחושבת עליך. כבר בוקר. מתחילה מלחמה מטורפת. תיכף תרדם בגפך כשהיא מתפנקת... נחנקת... גם אם זה בא לפעמים זה הולך וחוזר בחזרה. גם אם זה איננו עכשיו, זה יבוא כבר מחר כשתחזור ""בעזרת השם שלך"". גם אם הלילה יורד, אז הבוקר יעלה והכל כבר יזרח. גם אם עכשיו זה כואב לנו, סימן שמישהו חושב עליך, היא ואני ואתם וההם וההן. כבר לילה לפעמים נורא קשה פה. אל תדאג הכול יעבור החיים הם ""סומבררו"", ""אוריאו"" כבר בוקר. מגיע לך רגע של אושר. מזל שהיא חושבת עליך אי שם בלילה... בחושך... גם אם זה בא לפעמים זה הולך וחוזר בחזרה. גם אם זה איננו עכשיו, זה יבוא כבר מחר כשתחזור ""בעזרת השם שלך"". גם אם הלילה יורד, אז הבוקר יעלה והכל כבר יזרח. גם אם עכשיו זה כואב לנו, מישהו חושב עליך, היא ואני ואתם וההם וההן .",216
8,לטרוף את החיים,2025,אותיות נחמה,"ואז אמרת עזוב עזוב, רק אל תרפה ממני
והיינו מתנשקים עד אור, מול מגרשי הטניס.
""תודה שאת עוד פה"" צעקתי מרחוק,
לא לא שמעת אותי, אולי היו נביחות, כלבים ברחובות.
תיקראי לי החולם, תקראי לזה צורך,
הייתי אז עוצר ומתלהב מכל צלילי תזמורת.
""תודה שאת עוד פה ""הייתי ממלמל, לא מפריע לך לרקוד,
נוסע לכרמל, לתפוס שלוות במקום זריחות.



כמו כולם רצינו לאהוב טרוף את החיים.
כמו כולם רצינו קצת זכויות, שוויון, מקום, אולי דירה בעיר...
""תנו לנו לחיות אל תעשו בעיות,
אל תפריעו לנו את המחשבות""
כמו אמא התקרבת אלי ולחשת לי:
""משהו טוב משהו טוב"".



וכשהיה לך יומולדת, התמלאנו רגש,
ונבואות קטנות על מה יהיה מחר בעצם.
אנחנו השפיץ של העולם,
אם לא נבין את זה אף פעם,
לא נוכל לחיות, בשלווה פנימית.
השארת דלתות פתוחות, עד שעלה הבוקר.
אכלנו ארוחות, נלחמנו ושילמנו ביוקר.
בוא לא נחשוב על כלום, במילא לא נדע,
היינו שתי דמויות הזויות מספר העולם.



כמו כולם רצינו לאהוב לטרוף את החיים.
כמו כולם רצינו קצת זכויות, שוויון, מקום, אולי דירה בעיר...
""תנו לנו לחיות אל תעשו בעיות,
אל תפריעו לנו את המחשבות""
כמו אמא התקרבת אלי ולחשת לי:
""משהו טוב משהו טוב"".","ואז אמרת עזוב עזוב, רק אל תרפה ממני והיינו מתנשקים עד אור, מול מגרשי הטניס. ""תודה שאת עוד פה"" צעקתי מרחוק, לא לא שמעת אותי, אולי היו נביחות, כלבים ברחובות. תיקראי לי החולם, תקראי לזה צורך, הייתי אז עוצר ומתלהב מכל צלילי תזמורת. ""תודה שאת עוד פה ""הייתי ממלמל, לא מפריע לך לרקוד, נוסע לכרמל, לתפוס שלוות במקום זריחות. כמו כולם רצינו לאהוב טרוף את החיים. כמו כולם רצינו קצת זכויות, שוויון, מקום, אולי דירה בעיר... ""תנו לנו לחיות אל תעשו בעיות, אל תפריעו לנו את המחשבות"" כמו אמא התקרבת אלי ולחשת לי: ""משהו טוב משהו טוב"". וכשהיה לך יומולדת, התמלאנו רגש, ונבואות קטנות על מה יהיה מחר בעצם. אנחנו השפיץ של העולם, אם לא נבין את זה אף פעם, לא נוכל לחיות, בשלווה פנימית. השארת דלתות פתוחות, עד שעלה הבוקר. אכלנו ארוחות, נלחמנו ושילמנו ביוקר. בוא לא נחשוב על כלום, במילא לא נדע, היינו שתי דמויות הזויות מספר העולם. כמו כולם רצינו לאהוב לטרוף את החיים. כמו כולם רצינו קצת זכויות, שוויון, מקום, אולי דירה בעיר... ""תנו לנו לחיות אל תעשו בעיות, אל תפריעו לנו את המחשבות"" כמו אמא התקרבת אלי ולחשת לי: ""משהו טוב משהו טוב"".",188
9,תני לי יד בעולם,2025,אותיות נחמה,"כבר כמה ימים לבד בסלון,
וגשם ללא הפסקה .
העץ הבודד עומד בחלון ,
ולפתע אני רואה אותך בוכה.
קשה להתנצל ,
אבל ביקשתי סליחה.
קשה להיות כמו כולם,
לא הלכתי בדרך בטוחה,
קשה להודות בכמה חולשות,
קשה להיות בנאדם בין כולם,
""הו אלוהים תני לי יד בעולם ""



אחר כך בלב השדות מחברים
כמה סודות לשקרים.
למה את ככה? למה אני?
למה לא מדברים?
זה ברור כמו אור יום,
בנינו חלום.
אנחנו יכולים לשבור את הדממה
ואת הגלים עם כוח רצון .
מול כל החיים...
קשה להיות בנאדם בין כולם,
""הו אלוהים תני לי יד בעולם ""



אצבעות הידיים מלטפות אשליה,
איך שנינו שרים ורוקדים.
חצוצרות מנגנות לנו כמו שהיה,
ואני לוחש לך כמו שיר:
""קיוויתי תמיד, שיהיה לנו עתיד
שאת תהיי מי שתבוא
ותציע לי אהבה ,שתלמד אותי להביט,
להביט אל תוך עצמי כמו כולם,
הו אלוהים תני לי יד בעולם"".","כבר כמה ימים לבד בסלון, וגשם ללא הפסקה . העץ הבודד עומד בחלון , ולפתע אני רואה אותך בוכה. קשה להתנצל , אבל ביקשתי סליחה. קשה להיות כמו כולם, לא הלכתי בדרך בטוחה, קשה להודות בכמה חולשות, קשה להיות בנאדם בין כולם, ""הו אלוהים תני לי יד בעולם "" אחר כך בלב השדות מחברים כמה סודות לשקרים. למה את ככה? למה אני? למה לא מדברים? זה ברור כמו אור יום, בנינו חלום. אנחנו יכולים לשבור את הדממה ואת הגלים עם כוח רצון . מול כל החיים... קשה להיות בנאדם בין כולם, ""הו אלוהים תני לי יד בעולם "" אצבעות הידיים מלטפות אשליה, איך שנינו שרים ורוקדים. חצוצרות מנגנות לנו כמו שהיה, ואני לוחש לך כמו שיר: ""קיוויתי תמיד, שיהיה לנו עתיד שאת תהיי מי שתבוא ותציע לי אהבה ,שתלמד אותי להביט, להביט אל תוך עצמי כמו כולם, הו אלוהים תני לי יד בעולם"".",143
10,עזור לי,2025,אותיות נחמה,"אי שם בחשיכה,
כמו פרפר במבוכה,
עזור לי צועקת ב...
לב שבור ומתלבט.
מלאה בחרדות, רוצה להתוודות,
""הי אני מתה מקור
בוא אלי לעזור לי"".
אי שם כשאת בוכה בלילה,
זה שובר את לבי עכשיו,
אני לא מבזבז יותר מילים על סתם.
השמש שוקעת לה וקמה,
מה מסתתר שם אצלך בלב?
""עזור לי צועקת בכאב"",
ואני עוזר.
עוזר לך להרים , סלעים מההרים,
לאחות בלילה את הפצעים,
מימים משוגעים.
עוזר לך להאמין,
לעצמך ולאחרים,
להתנשק ולדבר,
להתעקש עד שזה עובר, עוזר.
אי שם כשאת בוכה בלילה,
זה שובר את ליבי עכשיו,
אני לא מבזבז יותר מילים על סתם.
השמש שוקעת לה וקמה,
מה מסתתר שם אצלך בלב?
""עזור לי צועקת בכאב"",
ואני עוזר.","אי שם בחשיכה, כמו פרפר במבוכה, עזור לי צועקת ב... לב שבור ומתלבט. מלאה בחרדות, רוצה להתוודות, ""הי אני מתה מקור בוא אלי לעזור לי"". אי שם כשאת בוכה בלילה, זה שובר את לבי עכשיו, אני לא מבזבז יותר מילים על סתם. השמש שוקעת לה וקמה, מה מסתתר שם אצלך בלב? ""עזור לי צועקת בכאב"", ואני עוזר. עוזר לך להרים , סלעים מההרים, לאחות בלילה את הפצעים, מימים משוגעים. עוזר לך להאמין, לעצמך ולאחרים, להתנשק ולדבר, להתעקש עד שזה עובר, עוזר. אי שם כשאת בוכה בלילה, זה שובר את ליבי עכשיו, אני לא מבזבז יותר מילים על סתם. השמש שוקעת לה וקמה, מה מסתתר שם אצלך בלב? ""עזור לי צועקת בכאב"", ואני עוזר.",113
