topic_id,top_words,label
0,"יפה, תתארו, קצת, אהבה, הו, הזמן, אוהבת, שהוא, ככה, משונה",
1,"אולי, שיר, לאן, עשרים, ביום, היינו, דברים, קיץ, ואולי, כמה",
2,"היי, לאט, בים, אחר, מביטים, קצת, מול, הו, בינתיים, כולם",
3,"מת, מול, בשקט, שלך, איזה, האחרון, הדרך, יודע, אולי, בי",
4,"ושם, דבר, בואי, לעולמים, האיש, ניקח, חיים, בסוף, תמיד, אף",
5,"פתאום, קשה, אולי, השיר, חושב, עולה, כולם, הים, הגיוני, הסתיו",
6,"פי, תגידי, ימים, שב, אהבה, כאלה, אולי, אומר, שלך, החלום",
7,"יכול, עולה, קצת, אוהב, הרי, בחושך, החברים, יותר, לבד, שיר",
8,"בדרך, היית, שנשאר, מכאן, שאין, אומר, מחר, יודע, הרחק, הרבה",
9,"הים, יוסי, אולי, שיר, ילד, בסתיו, מילים, עלה, תבכי, אחר",
